"Name","Gross Export","Share","Code","Sector"
"Horses","128035","0.000009422763438398161","0101","Agriculture"
"Bovine","46105364","0.0033931342071561585","0102","Agriculture"
"Swine","331629152","0.024406318964131576","0103","Agriculture"
"Sheep","1253501","0.00009225167643843896","0104","Agriculture"
"Fowl","26124446","0.0019226342376475734","0105","Agriculture"
"Other live animals","46859176","0.003448611163871321","0106","Agriculture"
"Beef","22250002","0.0016374936958635214","0201","Agriculture"
"Beef (frozen)","42929088","0.0031593754899064885","0202","Agriculture"
"Pork","268841568","0.01978545317820934","0203","Agriculture"
"Lamb","47382256","0.003487107349284351","0204","Agriculture"
"Horse meat","1454199","0.00010702208903311724","0205","Agriculture"
"Edible offal","4099847","0.00030172912418187516","0206","Agriculture"
"Poultry","327928064","0.024133936594555334","0207","Agriculture"
"Other meat","65227236","0.004800412501023692","0208","Agriculture"
"Pig and poultry fat","2216208","0.00016310230573113218","0209","Agriculture"
"Preserved meat","18593286","0.0013683768931970195","0210","Agriculture"
"Live Fish","389233312","0.028645709542861126","0301","Agriculture"
"Fish, excluding fillets","135534112","0.0099746622033769","0302","Agriculture"
"Frozen fish, excluding fillets","935643136","0.06885885838473071","0303","Agriculture"
"Fish fillets","3035964672","0.223432474804468","0304","Agriculture"
"Preserved fish","310311584","0.02283744794959675","0305","Agriculture"
"Crustaceans","995650880","0.07327514124632292","0306","Agriculture"
"Molluscs","973589184","0.07165150597114148","0307","Agriculture"
"Milk","16887432","0.001242834200164292","0401","Agriculture"
"Milk, concentrated","45014780","0.003312872442469143","0402","Agriculture"
"Fermented milk products","1629978","0.00011995858244849733","0403","Agriculture"
"Whey","532944","0.000039222128620405896","0404","Agriculture"
"Butter","5961048","0.0004387046131833989","0405","Agriculture"
"Cheese","1783981","0.00013129246644743225","0406","Agriculture"
"Eggs, in shell","101285488","0.007454127333672166","0407","Agriculture"
"Egg yolks","16304868","0.0011999602769423058","0408","Agriculture"
"Honey","124159152","0.009137519568931307","0409","Agriculture"
"Edible animal products, n.e.c.","33995148","0.0025018802488173887","0410","Agriculture"
"Human hair, unworked","8942569","0.0006581302942051221","0501","Agriculture"
"Brushmaking hair","79007360","0.005814563698772689","0502","Agriculture"
"Animal guts, except fish","765531776","0.05633947615749452","0504","Agriculture"
"Feathers and down","237593488","0.017485743991314032","0505","Agriculture"
"Bones, simply prepared","5219332","0.0003841178641969895","0506","Agriculture"
"Whalebone & horns","9044107","0.0006656030052138936","0507","Agriculture"
"Coral and shells","6105376","0.0004493264634707198","0508","Agriculture"
"Sponges of animal origin","66805","0.000004916528382881158","0509","Agriculture"
"Animal products used in pharmaceuticals","2015653","0.00014834241725229482","0510","Agriculture"
"Animal products n.e.c.","143749680","0.010579288702194206","0511","Agriculture"
"Flower bulbs","11473563","0.0008443993434963713","0601","Agriculture"
"Other live plants","105366144","0.007754444092070103","0602","Agriculture"
"Cut flowers","56145436","0.004132035471345522","0603","Agriculture"
"Other parts of plants","44556824","0.003279169071881452","0604","Agriculture"
"Potatoes","117122648","0.008619666539483558","0701","Agriculture"
"Tomatoes","42910628","0.003158016922225207","0702","Agriculture"
"Onions, shallots, garlic","1207606400","0.08887405345331843","0703","Agriculture"
"Cabbages, cauliflowers, broccoli","165853040","0.012205990248441346","0704","Agriculture"
"Lettuce","22158972","0.0016307943233810176","0705","Agriculture"
"Carrots & turnips","201554720","0.014833463087847687","0706","Agriculture"
"Cucumbers","12980797","0.0009553245547925842","0707","Agriculture"
"Legumes","32598794","0.002399115275034743","0708","Agriculture"
"Other vegetables","227792352","0.016764427273576164","0709","Agriculture"
"Frozen vegetables","637419584","0.04691103175720831","0710","Agriculture"
"Vegetables, provisionally preserved","150654960","0.011087484273060782","0711","Agriculture"
"Vegetables, dried","937434752","0.0689907127506498","0712","Agriculture"
"Legumes, dried","810124864","0.05962131408627705","0713","Agriculture"
"Tubers","110912544","0.008162632596266078","0714","Agriculture"
"Cashew nuts & coconuts","4572250","0.0003364957248503611","0801","Agriculture"
"Other nuts","277495808","0.020422363837475345","0802","Agriculture"
"Bananas and plantains","6822748","0.0005021216105268417","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","24090216","0.001772924642073764","0804","Agriculture"
"Citrus fruit","592502272","0.043605332493220156","0805","Agriculture"
"Grapes","146080336","0.010750813833168421","0806","Agriculture"
"Melons and papayas","33397304","0.002457881790699954","0807","Agriculture"
"Apples & pears","910918336","0.06703923139631578","0808","Agriculture"
"Peaches & cherries","23193490","0.0017069298987062395","0809","Agriculture"
"Other fresh fruit","70802960","0.005210759111323993","0810","Agriculture"
"Fruits and nuts, frozen","175284304","0.012900086156568659","0811","Agriculture"
"Fruits and nuts, provisionally preserved","39564676","0.002911770863161395","0812","Agriculture"
"Fruits, dried","100154648","0.007370902919983109","0813","Agriculture"
"Peel of citrus fruit or melons","1691413","0.00012447990452322684","0814","Agriculture"
"Coffee","80994624","0.0059608168214473085","0901","Agriculture"
"Tea","683839936","0.050327347574158146","0902","Agriculture"
"Mate","67225","0.000004947438373462853","0903","Agriculture"
"Pepper","235567072","0.017336609468755475","0904","Agriculture"
"Vanilla","295207","0.000021725822832500533","0905","Agriculture"
"Cinnamon","42064064","0.0030957138620661562","0906","Agriculture"
"Cloves","524551","0.00003860444397528171","0907","Agriculture"
"Nutmeg","2026258","0.0001491228945144826","0908","Agriculture"
"Anise, fennel, etc.","44463268","0.003272283797884164","0909","Agriculture"
"Spices","299369312","0.02203214908182928","0910","Agriculture"
"Wheat and meslin","14003294","0.0010305754420302285","1001","Agriculture"
"Barley","4130867","0.00030401204777198026","1003","Agriculture"
"Oats","234382","0.000017249393839330164","1004","Agriculture"
"Corn","32585298","0.0023981220340040512","1005","Agriculture"
"Rice","552162176","0.040636494427923386","1006","Agriculture"
"Grain sorghum","11426423","0.0008409300650296546","1007","Agriculture"
"Other cereals","49470152","0.0036407665057023443","1008","Agriculture"
"Wheat or meslin flour","98194864","0.0072266721938351215","1101","Agriculture"
"Cereal flours","3682752","0.00027103292770170424","1102","Agriculture"
"Cereal meals","5381571","0.0003960578783921883","1103","Agriculture"
"Worked cereal grains","26402828","0.0019431218209764146","1104","Agriculture"
"Potato flour","7498323","0.0005518406983535752","1105","Agriculture"
"Flour of dried legumes","17138246","0.0012612929105875231","1106","Agriculture"
"Malt","154818704","0.01139391591073837","1107","Agriculture"
"Starches","139518080","0.01026786318756207","1108","Agriculture"
"Wheat gluten","41511032","0.003055013352753357","1109","Agriculture"
"Soya beans","247808688","0.018237533838433375","1201","Agriculture"
"Peanuts","234869056","0.017285238830693876","1202","Agriculture"
"Copra","74851","0.000005508675488167616","1203","Agriculture"
"Linseed","6740903","0.0004960982101002732","1204","Agriculture"
"Rape or colza seeds","578998","0.00004261148268290435","1205","Agriculture"
"Sunflower seeds","145815120","0.010731295204449098","1206","Agriculture"
"Other oil seeds","155887056","0.011472541506590593","1207","Agriculture"
"Flours of oil seeds","27063066","0.0019917121789804065","1208","Agriculture"
"Seeds used for sowing","171270512","0.012604690268671326","1209","Agriculture"
"Hop cones","4615323","0.0003396656915749452","1210","Agriculture"
"Plants used in perfumery, pharmacy or insecticide","486151552","0.03577842831808585","1211","Agriculture"
"Seaweeds & edible vegetable products","469167264","0.034528465979712555","1212","Agriculture"
"Cereal straw and husks","21129488","0.0015550292263714818","1213","Agriculture"
"Forage products","4243083","0.0003122706084936836","1214","Agriculture"
"Lac","16926526","0.0012457113315257223","1301","Agriculture"
"Vegetable saps and extracts","493200096","0.03629716743393028","1302","Agriculture"
"Vegetable materials used for plaiting","45202792","0.003326709226157823","1401","Agriculture"
"Vegetable materials used as stuffing","31748","0.000002336500907113405","1402","Agriculture"
"Vegetable materials used for brooms","13107","9.646124917958738e-7","1403","Agriculture"
"Vegetable products n.e.c.","35717368","0.002628627401149783","1404","Agriculture"
"Pig and poultry fat, rendered","29967","0.000002205427828003887","1501","Agriculture"
"Bovine, sheep and goat fats","3885376","0.00028594508468176433","1502","Agriculture"
"Lard oil, tallow oil etc.","102429","0.000007538284345934199","1503","Agriculture"
"Fish oils","31061196","0.002285955418609905","1504","Agriculture"
"Wool grease","33708624","0.0024807934532425566","1505","Agriculture"
"Other animal fats and oils","525437","0.000038669649336365945","1506","Agriculture"
"Soybean oil","77114000","0.005675221461230412","1507","Agriculture"
"Peanut oil","25234526","0.0018571403833179036","1508","Agriculture"
"Olive oil","1576720","0.00011603904845230715","1509","Agriculture"
"Olive oil, blended","171860","0.000012648073765166618","1510","Agriculture"
"Palm oil","16780566","0.001234969373846427","1511","Agriculture"
"Sunflower seed oil","6228803","0.0004584101001553074","1512","Agriculture"
"Coconut & palm kernel oil","431185","0.00003173315306897107","1513","Agriculture"
"Rapeseed, colza or mustard oil,","13815081","0.001016723865703199","1514","Agriculture"
"Other vegetable fats and oils","72572016","0.00534095316917754","1515","Agriculture"
"Vegetable fats, hydrogenated","6444520","0.00047428583929414386","1516","Agriculture"
"Margarine","20405696","0.001501761598030754","1517","Agriculture"
"Animal or vegetable fats and oils, processed","28634622","0.0021073711817389904","1518","Agriculture"
