冲击顺序,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
CNY/USD->CNY/USD,1.0,0.4807351552126405,0.22768361017227848,0.10733933243561043,0.05060351304773525,0.023855475482253363,0.011246043475444525,0.005301656934658078,0.002499330054722181,0.0011782449969980457,0.0005554533607639196,0.0002618542295175839,0.0001234444552156876,5.819471983067659e-05,2.743440691809857e-05,1.2933246953288466e-05
EUR/USD->CNY/USD,0.0,0.0018995038888580118,0.0007102724260196114,0.0003440740714198484,0.00016138062643030555,7.61309481299053e-05,3.588656693238607e-05,1.6918083940674943e-05,7.975581042140196e-06,3.7598843219990372e-06,1.7725008746299155e-06,8.356000466049011e-07,3.9392219330100426e-07,1.8570450683592693e-07,8.754562306954216e-08,4.127113686917198e-08
JPY/USD->CNY/USD,0.0,-0.07136370143006873,-0.019647248171418805,-0.01004597256474332,-0.004699011199014523,-0.0022205951962990717,-0.0010467120616809696,-0.0004934700148367071,-0.00023263277521402747,-0.00010966883334884195,-5.170054924166732e-05,-2.4372897161744922e-05,-1.1489976723119746e-05,-5.416654602057738e-06,-2.553542776920145e-06,-1.2038021976767783e-06
GBP/USD->CNY/USD,0.0,-0.0016352461197092771,-0.0007529149983518392,-0.00035962131239300097,-0.00016918617362878663,-7.976527571359327e-05,-3.7600946685523e-05,-1.7726026562057688e-05,-8.356470934241195e-06,-3.939444111586394e-06,-1.857149784562061e-06,-8.755055995861502e-07,-4.1273464232273683e-07,-1.9457315303721882e-07,-9.172651868180517e-08,-4.324211278998219e-08
CNY/USD->EUR/USD,0.0,4.272653991821986,1.9184587364119101,0.8817186818126691,0.41304528530936135,0.19455213197291796,0.09170668691759822,0.043232513077470995,0.02038086226986814,0.009608036616318476,0.004529462429442273,0.0021352988148898356,0.0010066318179419629,0.0004745507323008644,0.00022371476194134492,0.00010546458219116414
EUR/USD->EUR/USD,1.0,0.009200676774851146,0.007532940111100809,0.002560484678015663,0.0013133042711557291,0.0006192972195501566,0.0002926354330410568,0.00013795433428571527,6.503737035484856e-05,3.0660093065068884e-05,1.4453917938101056e-05,6.813927707139396e-06,3.212251323710475e-06,1.5143334301336946e-06,7.138936257325552e-07,3.365468255689144e-07
JPY/USD->EUR/USD,0.0,8.444177612916395,0.3921571517599464,-0.02539944365214204,-0.03656268437752499,-0.017994200238019918,-0.008541097042038873,-0.004024384873734178,-0.0018970818964129004,-0.0008943007776074962,-0.0004215940680865935,-0.0001987495813249865,-9.369538836228877e-05,-4.417028574552632e-05,-2.082294747884254e-05,-9.816444105017559e-06
GBP/USD->EUR/USD,0.0,-0.04266861351742168,-0.01188940383452913,-0.003290047574217674,-0.0014071055439563106,-0.000651211923922199,-0.00030664281080118415,-0.00014454304717912878,-6.814277924050682e-05,-3.2124287073422596e-05,-1.5144186678619494e-05,-7.139338734692321e-06,-3.3656580426197307e-06,-1.5866530939025345e-06,-7.479868747660242e-07,-3.526192127123218e-07
CNY/USD->JPY/USD,0.0,0.012245950893510566,0.004032333653201348,0.0015581396773064187,0.000709594084698538,0.00033271978191390085,0.00015678656468657692,7.391115502870617e-05,3.4843740109970006e-05,1.6426209766459162e-05,7.743717320338294e-06,3.6505768827635143e-06,1.7209707748905912e-06,8.113074978410753e-07,3.824700951497991e-07,1.803057090871549e-07
EUR/USD->JPY/USD,0.0,0.0004931270990812149,-2.315128874915136e-05,5.010923385655968e-06,2.0015048007260155e-06,1.0611043800929092e-06,4.993413446923968e-07,2.3589045981911535e-07,1.111876250131167e-07,5.2417822198795995e-08,2.471088604419069e-08,1.1649315907962924e-08,5.491770180785192e-09,2.588954109649527e-09,1.2204959587631483e-09,5.753714921735722e-10
JPY/USD->JPY/USD,1.0,0.0635908335364991,0.00873770473514052,0.00018740708238485816,-3.8259624543668654e-05,-3.1287920540611586e-05,-1.460766656940418e-05,-6.88959534309931e-06,-3.24358825446938e-06,-1.5289698566530783e-06,-7.207711531566283e-07,-3.397888827103457e-07,-1.6018469998736552e-07,-7.551496919561735e-08,-3.5599593965299413e-08,-1.678251483324453e-08
GBP/USD->JPY/USD,0.0,-0.000726861428756255,-5.9558894130335386e-05,-9.68501395884461e-06,-2.5284965748731797e-06,-1.1214933936804858e-06,-5.23828771546552e-07,-2.4708954081200697e-07,-1.1649405286411169e-07,-5.492054393764958e-08,-2.589097954391958e-08,-1.2205647693911518e-08,-5.754039378323581e-09,-2.712594178837803e-09,-1.2787828962177364e-09,-6.028493724430702e-10
CNY/USD->GBP/USD,0.0,6.521761859834218,3.3466159922407934,1.5666822324207073,0.737108663857551,0.34730591464766664,0.16371838872130604,0.07718016648357556,0.03638459858935272,0.017152585287299474,0.008086146233049554,0.0038120060970949264,0.0017970724286929304,0.0008471836691630058,0.0003993829952599593,0.0001882788617249323
EUR/USD->GBP/USD,0.0,0.11323752114973828,0.008157710376897949,0.005218742401141907,0.0023251448811638553,0.0011086339555902024,0.0005222930479793118,0.00024629163784107097,0.0001161059753347454,5.473545150537654e-05,2.5803607790417344e-05,1.21644493971446e-05,5.734617329576987e-06,2.7034381467723364e-06,1.2744665217945066e-06,6.008145286269624e-07
JPY/USD->GBP/USD,0.0,-1.931281730801944,0.4416452910417339,-0.11745105761736824,-0.06427490839313679,-0.03226018735018816,-0.0152286926041943,-0.007184408825412794,-0.0033866216592336835,-0.0015965359619810587,-0.0007526433251664176,-0.00035481434884999664,-0.0001672681069123441,-7.885425576590895e-05,-3.717381482466243e-05,-1.7524640822062685e-05
