"Name","Gross Export","Share","Code","Sector"
"Horses","536496","0.00002171242299362191","0101","Agriculture"
"Bovine","59460256","0.002406404203537483","0102","Agriculture"
"Swine","481869216","0.019501633274799746","0103","Agriculture"
"Sheep","1338800","0.00005418230872897658","0104","Agriculture"
"Fowl","15121991","0.0006119990924400995","0105","Agriculture"
"Other live animals","47031092","0.001903385977446146","0106","Agriculture"
"Beef","854540","0.000034583918510053515","0201","Agriculture"
"Beef (frozen)","43844556","0.0017744243122773398","0202","Agriculture"
"Pork","330182816","0.013362763126318244","0203","Agriculture"
"Lamb","34221596","0.0013849754105693978","0204","Agriculture"
"Horse meat","364775","0.000014762736530185562","0205","Agriculture"
"Edible offal","4384990","0.00017746405882392816","0206","Agriculture"
"Poultry","617217664","0.02497929341486834","0207","Agriculture"
"Other meat","59118040","0.0023925544478129567","0208","Agriculture"
"Pig and poultry fat","614281","0.00002486044426975236","0209","Agriculture"
"Preserved meat","15787644","0.0006389386027122608","0210","Agriculture"
"Live Fish","556897344","0.022538081732114634","0301","Agriculture"
"Fish, excluding fillets","160523056","0.006496496697274272","0302","Agriculture"
"Frozen fish, excluding fillets","2440712704","0.09877759878014881","0303","Agriculture"
"Fish fillets","4068510720","0.16465588877964651","0304","Agriculture"
"Preserved fish","456578528","0.018478098866983626","0305","Agriculture"
"Crustaceans","1568586752","0.06348196270170796","0306","Agriculture"
"Molluscs","3178491136","0.1286360830766862","0307","Agriculture"
"Milk","24513410","0.0009920773443531383","0401","Agriculture"
"Milk, concentrated","27361416","0.001107338429170869","0402","Agriculture"
"Fermented milk products","1635576","0.00006619307124417731","0403","Agriculture"
"Whey","719894","0.000029134687003389502","0404","Agriculture"
"Butter","4045612","0.00016372915923338244","0405","Agriculture"
"Cheese","1398038","0.00005657971805410888","0406","Agriculture"
"Eggs, in shell","168066560","0.0068017883484740565","0407","Agriculture"
"Egg yolks","18039242","0.0007300625778911868","0408","Agriculture"
"Honey","292069632","0.011820292031208976","0409","Agriculture"
"Edible animal products, n.e.c.","68902256","0.002788529509049133","0410","Agriculture"
"Human hair, unworked","7357950","0.0002977821321424957","0501","Agriculture"
"Brushmaking hair","115778648","0.004685654653540116","0502","Agriculture"
"Animal guts, except fish","960543168","0.038873951655277274","0504","Agriculture"
"Feathers and down","496990528","0.02011360488756579","0505","Agriculture"
"Bones, simply prepared","3696383","0.0001495955817796091","0506","Agriculture"
"Whalebone & horns","13616564","0.0005510732555093129","0507","Agriculture"
"Coral and shells","10095064","0.00040855532886672927","0508","Agriculture"
"Animal products used in pharmaceuticals","4724913","0.00019122101500116144","0510","Agriculture"
"Animal products n.e.c.","177862544","0.007198239670099477","0511","Agriculture"
"Flower bulbs","12928898","0.0005232428614889811","0601","Agriculture"
"Other live plants","154687520","0.006260327879563593","0602","Agriculture"
"Cut flowers","88677424","0.0035888464030910945","0603","Agriculture"
"Other parts of plants","63855116","0.0025842677091698625","0604","Agriculture"
"Potatoes","216343408","0.008755591069416598","0701","Agriculture"
"Tomatoes","139655456","0.0056519682048685425","0702","Agriculture"
"Onions, shallots, garlic","2290255360","0.09268846951278265","0703","Agriculture"
"Cabbages, cauliflowers, broccoli","482732640","0.019536576735908206","0704","Agriculture"
"Lettuce","47053352","0.0019042868574822283","0705","Agriculture"
"Carrots & turnips","382029056","0.01546102200151739","0706","Agriculture"
"Cucumbers","34225716","0.0013851421502705955","0707","Agriculture"
"Legumes","36526444","0.001478254455915502","0708","Agriculture"
"Other vegetables","530397984","0.0214656313999961","0709","Agriculture"
"Frozen vegetables","932630208","0.037744291798495394","0710","Agriculture"
"Vegetables, provisionally preserved","167211968","0.0067672023254823355","0711","Agriculture"
"Vegetables, dried","2566980352","0.10388775166812142","0712","Agriculture"
"Legumes, dried","642491200","0.026002133667501225","0713","Agriculture"
"Tubers","177986304","0.0072032483364636085","0714","Agriculture"
"Cashew nuts & coconuts","7713768","0.00031218237170578143","0801","Agriculture"
"Other nuts","434494336","0.01758433392152949","0802","Agriculture"
"Bananas and plantains","8159173","0.0003302082689416866","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","51283616","0.0020754890311101603","0804","Agriculture"
"Citrus fruit","1211005056","0.049010344948120385","0805","Agriculture"
"Grapes","734349504","0.02971971283290919","0806","Agriculture"
"Melons and papayas","163850848","0.006631175105946082","0807","Agriculture"
"Apples & pears","1426126336","0.0577164755181328","0808","Agriculture"
"Peaches & cherries","171610960","0.006945233056465529","0809","Agriculture"
"Other fresh fruit","357292288","0.014459905179936073","0810","Agriculture"
"Fruits and nuts, frozen","242567632","0.00981690642715923","0811","Agriculture"
"Fruits and nuts, provisionally preserved","39998264","0.0016187617931514113","0812","Agriculture"
"Fruits, dried","165024016","0.0066786541549205035","0813","Agriculture"
"Peel of citrus fruit or melons","3235913","0.00013095999192269854","0814","Agriculture"
"Coffee","202811616","0.00820794860467183","0901","Agriculture"
"Tea","1322622080","0.05352757534383116","0902","Agriculture"
"Mate","728585","0.00002948641873715372","0903","Agriculture"
"Pepper","354354656","0.014341016859084472","0904","Agriculture"
"Vanilla","525762","0.000021278009412880328","0905","Agriculture"
"Cinnamon","98712040","0.003994955352963165","0906","Agriculture"
"Cloves","995890","0.000040304466268375024","0907","Agriculture"
"Nutmeg","3032793","0.00012273956277045043","0908","Agriculture"
"Anise, fennel, etc.","22042242","0.0008920671953412116","0909","Agriculture"
"Spices","499548544","0.02021712984472568","0910","Agriculture"
"Wheat and meslin","1136552","0.00004599717011542858","1001","Agriculture"
"Rye","2737","1.1076858305288982e-7","1002","Agriculture"
"Barley","3285884","0.00013298235833253993","1003","Agriculture"
"Oats","214911","0.00000869762036992313","1004","Agriculture"
"Corn","5936380","0.00024025005519309978","1005","Agriculture"
"Rice","297023648","0.012020785028191565","1006","Agriculture"
"Grain sorghum","4655871","0.00018842682994046079","1007","Agriculture"
"Other cereals","47743176","0.001932204587491683","1008","Agriculture"
"Wheat or meslin flour","74487656","0.00301457512241545","1101","Agriculture"
"Cereal flours","4190417","0.00016958953361006262","1102","Agriculture"
"Cereal meals","9456408","0.00038270840881622647","1103","Agriculture"
"Worked cereal grains","52417332","0.0021213714260332112","1104","Agriculture"
"Potato flour","4339213","0.00017561142695457773","1105","Agriculture"
"Flour of dried legumes","47988248","0.001942122847698456","1106","Agriculture"
"Malt","163289072","0.006608439581096568","1107","Agriculture"
"Starches","84630976","0.0034250834102678577","1108","Agriculture"
"Wheat gluten","193953808","0.007849466017490772","1109","Agriculture"
"Soya beans","134382976","0.005438586714632992","1201","Agriculture"
"Peanuts","254818016","0.010312689283401026","1202","Agriculture"
"Linseed","6320461","0.000255794121012441","1204","Agriculture"
"Rape or colza seeds","864871","0.00003500202235788669","1205","Agriculture"
"Sunflower seeds","404777344","0.01638166344420612","1206","Agriculture"
"Other oil seeds","340979808","0.0137997260437729","1207","Agriculture"
"Flours of oil seeds","42430764","0.0017172070172201564","1208","Agriculture"
"Seeds used for sowing","282537312","0.011434511402927382","1209","Agriculture"
"Hop cones","638191","0.00002582810112791626","1210","Agriculture"
"Plants used in perfumery, pharmacy or insecticide","1020027264","0.04128132068271683","1211","Agriculture"
"Seaweeds & edible vegetable products","595387584","0.024095812585664383","1212","Agriculture"
"Cereal straw and husks","16078515","0.000650710385146012","1213","Agriculture"
"Forage products","1961542","0.000079385176448203","1214","Agriculture"
"Lac","20799366","0.000841767007752449","1301","Agriculture"
"Vegetable saps and extracts","1127426816","0.045627866607289416","1302","Agriculture"
"Vegetable materials used for plaiting","108978472","0.004410446082100485","1401","Agriculture"
"Vegetable products n.e.c.","51612884","0.002088814770899952","1404","Agriculture"
"Pig and poultry fat, rendered","65552","0.0000026529419642977836","1501","Agriculture"
"Bovine, sheep and goat fats","590533","0.000023899343681392833","1502","Agriculture"
"Fish oils","124616656","0.005043335918856194","1504","Agriculture"
"Wool grease","56592844","0.0022903577423504704","1505","Agriculture"
"Other animal fats and oils","2430516","0.00009836492999904184","1506","Agriculture"
"Soybean oil","136211584","0.005512591945586291","1507","Agriculture"
"Peanut oil","24489752","0.0009911198861368925","1508","Agriculture"
"Olive oil","2526308","0.0001022417089934892","1509","Agriculture"
"Olive oil, blended","82918","0.000003355757899006035","1510","Agriculture"
"Palm oil","11801177","0.00047760308901949333","1511","Agriculture"
"Sunflower seed oil","9278156","0.0003754944075497508","1512","Agriculture"
"Coconut & palm kernel oil","1281410","0.00005185968944457564","1513","Agriculture"
"Rapeseed, colza or mustard oil,","5568987","0.00022538136610521144","1514","Agriculture"
"Other vegetable fats and oils","116216480","0.004703374065398067","1515","Agriculture"
"Vegetable fats, hydrogenated","18929508","0.0007660923562471108","1516","Agriculture"
"Margarine","24372556","0.0009863768701122426","1517","Agriculture"
"Animal or vegetable fats and oils, processed","64686416","0.002617911086258597","1518","Agriculture"
"Stearic acid","60273576","0.0024393199156195347","1519","Agriculture"
"Glycerol","4648254","0.0001881185638472515","1520","Agriculture"
"Vegetable waxes and beeswax","58522656","0.002368458780274644","1521","Agriculture"
"Degras and wax residues","570601","0.00002309267967064742","1522","Agriculture"
"Sausages","177011504","0.007163797399393839","1601","Agriculture"
"Other prepared or preserved meat","1538761088","0.06227489418146989","1602","Agriculture"
"Extracts and juices of meat or fish","18282474","0.0007399063718236385","1603","Agriculture"
"Prepared or preserved fish","2548881408","0.10315527290245333","1604","Agriculture"
"Prepared aquatic invertibrates","2737491456","0.11078847267099463","1605","Agriculture"
"Sugarcane & sucrose","55828272","0.002259414900888317","1701","Agriculture"
"Other sugars","646294848","0.02615607034977815","1702","Agriculture"
"Molasses","11042750","0.0004469089406310921","1703","Agriculture"
"Confectionery sugar","808646080","0.032726554794619576","1704","Agriculture"
"Cocoa beans","3194294","0.00012927563764499365","1801","Agriculture"
"Cocoa residues","10095","4.0855273873544855e-7","1802","Agriculture"
"Cocoa paste","19989698","0.0008089990950366042","1803","Agriculture"
"Cocoa butter","71710480","0.002902180584451076","1804","Agriculture"
"Cocoa powder","12337295","0.0004993002140502384","1805","Agriculture"
"Chocolates","351462144","0.014223954580785795","1806","Agriculture"
"Malt extract","115336328","0.004667753608726103","1901","Agriculture"
"Pasta","788084544","0.03189441295753117","1902","Agriculture"
"Tapioca","8056406","0.00032604920610843985","1903","Agriculture"
"Cereal foods","186992032","0.0075677173645672755","1904","Agriculture"
"Bakery products","452712960","0.01832165623269258","1905","Agriculture"
"Pickled fruits and vegetables","149363376","0.006044855505851666","2001","Agriculture"
"Tomatoes, prepared or preserved","892343360","0.03611385077963272","2002","Agriculture"
"Mushrooms, prepared or preserved","514040448","0.020803628811411286","2003","Agriculture"
"Other vegetables, frozen","262434608","0.010620938864523413","2004","Agriculture"
"Other vegetables, prepared or preserved","1682126336","0.06807700064109216","2005","Agriculture"
"Vegetables, fruits and nuts, preserved by sugar","198001600","0.008013283403070906","2006","Agriculture"
"Jams, jellies and marmalades","72752992","0.0029443718804158673","2007","Agriculture"
"Fruits and nuts, otherwise prepared","2375838464","0.09615208630611406","2008","Agriculture"
"Fruit juices","655130688","0.026513663874397093","2009","Agriculture"
"Coffee extracts","315880224","0.012783925767961068","2101","Agriculture"
"Yeasts","266164224","0.010771879412441348","2102","Agriculture"
"Sauces and seasonings","962965632","0.038971990714384556","2103","Agriculture"
"Soups and broths","92336264","0.0037369225895789405","2104","Agriculture"
"Ice cream","15593497","0.0006310813180597327","2105","Agriculture"
"Food preparations n.e.c.","1145079936","0.046342302518455884","2106","Agriculture"
"Waters","614128576","0.024854275548340868","2201","Agriculture"
"Waters, flavored or sweetened","202811888","0.008207959612729772","2202","Agriculture"
"Beer","180240464","0.007294475997835367","2203","Agriculture"
"Wine","425925056","0.017237528293694827","2204","Agriculture"
"Wine, flavored","1638985","0.00006633103620567798","2205","Agriculture"
"Other fermented beverages","31300298","0.001266748139785605","2206","Agriculture"
"Ethyl alcohol > 80%","21689858","0.0008778059325094581","2207","Agriculture"
"Spirits < 80% alcohol","476602944","0.019288503027298426","2208","Agriculture"
"Vinegars","15653715","0.0006335183887701013","2209","Agriculture"
"Flours of fish, for animal feed","18138292","0.0007340712107561443","2301","Agriculture"
"Cereal residues","51404312","0.002080373694939226","2302","Agriculture"
"Starch residues","228833968","0.009261094040822189","2303","Agriculture"
"Solid soybean residues","756490944","0.030615794650793945","2304","Agriculture"
"Solid peanut residues","1085220","0.00004391972294507018","2305","Agriculture"
"Solid vegetable oil and fat residues","42998208","0.0017401719305712208","2306","Agriculture"
"Wine lees","3740","1.5136079671823455e-7","2307","Agriculture"
"Vegetable materials for animal feeding","74837184","0.0030287208006388004","2308","Agriculture"
"Animal feed","1364450816","0.055220417805509424","2309","Agriculture"
"Unmanufactured tobacco","579532736","0.023454154183224142","2401","Agriculture"
"Cigars and cigarettes","682276864","0.027612291368304426","2402","Agriculture"
"Other manufactured tobacco","186355456","0.007541954623783396","2403","Agriculture"
"Salt","82753152","0.0033490863683596694","2501","Minerals"
"Unroasted iron pyrites","5336928","0.0002159897524352551","2502","Minerals"
"Sulphur, crude","5185781","0.00020987271223697407","2503","Minerals"
"Natural graphite","249485312","0.0100968704796303","2504","Minerals"
"Natural sands","93724232","0.003793094766664346","2505","Minerals"
"Quartz","83073024","0.0033620318445008075","2506","Minerals"
"Kaolin","112607544","0.004557317533776377","2507","Minerals"
"Clays","230790640","0.009340282124468248","2508","Minerals"
"Chalk","10021753","0.000405588373955443","2509","Minerals"
"Natural calcium phosphates","33828896","0.0013690825269139833","2510","Minerals"
"Natural barium sulfate","265618480","0.010749792715477659","2511","Minerals"
"Siliceous fossil meals and earths","5868008","0.0002374829855692444","2512","Minerals"
"Natural abrasives","15986297","0.0006469782487952734","2513","Minerals"
"Slate","15877712","0.0006425837268402869","2514","Minerals"
"Marble","29241696","0.001183434867366955","2515","Minerals"
"Granite","101966568","0.004126668708851347","2516","Minerals"
"Gravel","266927520","0.010802770613161093","2517","Minerals"
"Dolomite","140255168","0.005676239030034715","2518","Minerals"
"Natural magnesia","592013504","0.023959260864543776","2519","Minerals"
"Gypsum","29167880","0.0011804474747010318","2520","Minerals"
"Limstone","17008732","0.0006883570124831365","2521","Minerals"
"Quicklime","30310646","0.0012266961303754997","2522","Minerals"
"Cements","774117888","0.031329171198266594","2523","Minerals"
"Asbestos","14635176","0.0005922972993239532","2524","Minerals"
"Mica","40650908","0.001645174818769961","2525","Minerals"
"Natural steatite","166069792","0.006720977547580613","2526","Minerals"
"Natural borates","1025678","0.000041510010496354376","2528","Minerals"
"Feldspar","138638208","0.005610799363226823","2529","Minerals"
"Mineral substances n.e.c.","217470432","0.008801202633737605","2530","Minerals"
"Iron ores and concentrates","10741029","0.00043469805000365293","2601","Minerals"
"Manganese > 47% by weight","5614696","0.00022723124596007608","2602","Minerals"
"Copper ore","19960788","0.0008078290841721325","2603","Minerals"
"Nickel ore","9134863","0.0003696952250245781","2604","Minerals"
"Cobalt ore","1018262","0.000041209879034198646","2605","Minerals"
"Aluminum ore","202126112","0.008180205708523826","2606","Minerals"
"Lead ore","433649","0.00001755012249627425","2607","Minerals"
"Zinc ore","6515997","0.0002637076196079214","2608","Minerals"
"Tin ore","25633370","0.0010374030229340352","2609","Minerals"
"Chromium ore","2608113","0.00010555242289069113","2610","Minerals"
"Tungsten ore","4742926","0.00019195001554428591","2611","Minerals"
"Uranium ore","5128","2.0753426886927987e-7","2612","Minerals"
"Molybdenum ore","38612472","0.0015626776805295515","2613","Minerals"
"Titanium ore","16237789","0.0006571563315461457","2614","Minerals"
"Zirconium ore","22419960","0.0009073537454521255","2615","Minerals"
"Precious metal ores","560561","0.000022686352825981355","2616","Minerals"
"Other ores","5732906","0.0002320152993772051","2617","Minerals"
"Granulated iron or steel slag","59815808","0.0024207936778676328","2618","Minerals"
"Iron or steel slag","1702663","0.00006890813588841159","2619","Minerals"
"Slag, ash and residues containing metals","8369882","0.0003387358310047086","2620","Minerals"
"Other slag and ash","100477424","0.004066401857977503","2621","Minerals"
"Coal","583519424","0.02361549864096399","2701","Minerals"
"Lignite","2183570","0.00008837082751070465","2702","Minerals"
"Peat","4104940","0.00016613021093062828","2703","Minerals"
"Coke","1543383296","0.062461958642827484","2704","Minerals"
"Non-petroleum gases","1198662","0.00004851081158178407","2705","Minerals"
"Tar distilled from coal, lignite etc.","74080232","0.0029980863466822602","2706","Minerals"
"Oils etc. from high temperature coal tar","150201504","0.006078775217571415","2707","Minerals"
"Pitch and pitch coke","210328544","0.008512164703857286","2708","Minerals"
"Petroleum oils, crude","1462026368","0.059169378578488446","2709","Minerals"
"Petroleum oils, refined","17469956096","0.7070231212093953","2710","Minerals"
"Petroleum gases","2111002368","0.08543395729801062","2711","Minerals"
"Petroleum jelly","660638848","0.02673658352307397","2712","Minerals"
"Petroleum coke","823443712","0.033325426818433285","2713","Minerals"
"Bitumen and asphalt, natural","7374040","0.00029843330733479414","2714","Minerals"
